Atoms	Optimal	Found	Error	Gen	Time
61	-171.50	-155.44	9.36	50	3.72
61	-171.50	-149.14	13.04	50	3.69
61	-171.50	-139.09	18.90	50	3.73
61	-171.50	-106.52	37.89	50	3.73
61	-171.50	-92.84	45.87	50	3.75
61	-171.50	-91.94	46.39	50	3.95
61	-171.50	-169.33	1.26	50	2.02
61	-171.50	-152.97	10.81	50	2.09
61	-171.50	-144.09	15.98	50	2.03
61	-171.50	-164.95	3.82	50	0.97
61	-171.50	-160.83	6.22	50	1.47
61	-171.50	-147.83	13.80	50	3.17
61	-171.50	-117.94	31.23	50	1.41
61	-171.50	-94.54	44.87	50	6.38
61	-171.50	-99.28	42.11	50	1.72
61	-171.50	-171.50	0.00	50	1.01
61	-171.50	-159.37	7.07	50	1.58
61	-171.50	-150.51	12.24	50	4.00
