Atoms	Optimal	Found	Error	Gen	Time
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
2	-1.00	-1.00	-0.00	50	0.00
Atoms	Optimal	Found	Error	Gen	Time
3	-3.00	-2.88	4.10	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-2.90	3.50	50	0.00
3	-3.00	-2.99	0.25	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-2.99	0.44	50	0.01
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-2.99	0.43	50	0.00
3	-3.00	-2.88	4.10	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-2.90	3.50	50	0.00
3	-3.00	-2.99	0.25	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-2.99	0.44	50	0.00
3	-3.00	-3.00	-0.00	50	0.00
3	-3.00	-2.99	0.43	50	0.00
Atoms	Optimal	Found	Error	Gen	Time
4	-5.06	-4.86	3.93	50	0.00
4	-5.06	-4.47	11.65	50	0.00
4	-5.06	-4.47	11.63	50	0.00
4	-5.06	-5.03	0.62	50	0.00
4	-5.06	-4.82	4.69	50	0.00
4	-5.06	-4.47	11.63	50	0.00
4	-5.06	-5.06	0.02	50	0.00
4	-5.06	-4.47	11.65	50	0.00
4	-5.06	-4.47	11.63	50	0.00
4	-5.06	-4.96	1.88	50	0.00
4	-5.06	-4.47	11.59	50	0.00
4	-5.06	-4.47	11.63	50	0.00
4	-5.06	-5.03	0.62	50	0.00
4	-5.06	-4.82	4.69	50	0.00
4	-5.06	-4.47	11.63	50	0.00
4	-5.06	-5.06	-0.00	50	0.01
4	-5.06	-4.47	11.59	50	0.00
4	-5.06	-4.47	11.63	50	0.00
Atoms	Optimal	Found	Error	Gen	Time
5	-7.16	-7.01	2.16	50	0.00
5	-7.16	-4.85	32.27	50	0.00
5	-7.16	-6.53	8.89	50	0.00
5	-7.16	-6.54	8.70	50	0.00
5	-7.16	-5.55	22.57	50	0.00
5	-7.16	-6.52	9.04	50	0.00
5	-7.16	-7.15	0.15	50	0.00
5	-7.16	-5.54	22.65	50	0.00
5	-7.16	-6.54	8.68	50	0.00
5	-7.16	-7.14	0.39	50	0.00
5	-7.16	-4.85	32.27	50	0.01
5	-7.16	-6.55	8.53	50	0.00
5	-7.16	-6.55	8.51	50	0.00
5	-7.16	-5.87	18.09	50	0.00
5	-7.16	-6.52	8.97	50	0.02
5	-7.16	-7.16	-0.00	50	0.00
5	-7.16	-5.91	17.56	50	0.00
5	-7.16	-6.55	8.62	50	0.00
Atoms	Optimal	Found	Error	Gen	Time
6	-9.35	-9.20	1.70	50	0.00
6	-9.35	-9.15	2.23	50	0.00
6	-9.35	-7.17	23.36	50	0.00
6	-9.35	-7.93	15.22	50	0.00
6	-9.35	-9.35	0.02	50	0.02
6	-9.35	-8.03	14.14	50	0.00
6	-9.35	-9.34	0.20	50	0.00
6	-9.35	-9.35	0.02	50	0.00
6	-9.35	-7.99	14.64	50	0.00
6	-9.35	-9.32	0.36	50	0.00
6	-9.35	-9.35	-0.00	50	0.01
6	-9.35	-8.67	7.33	50	0.00
6	-9.35	-8.23	11.97	50	0.02
6	-9.35	-9.35	0.00	50	0.00
6	-9.35	-8.67	7.37	50	0.00
6	-9.35	-9.35	0.10	50	0.02
6	-9.35	-9.35	0.00	50	0.00
6	-9.35	-8.66	7.40	50	0.01
